event_id,gene_id,gene_symbol,event_label,AS_type,novel_isoform_event,mean_PSI_tumor,mean_PSI_normal,delta_PSI,P_value,P_adj_BH,significance,paper_threshold,direction
ENSG00000111271.15;RI:chr12:111755668:111755745-111756333:111757094:+,ENSG00000111271.15,ACAD10,ACAD10-RI,RI,True,0.8096845717263433,0.19408869812419696,0.6155958736021464,0.009106728511050063,0.5293852738463806,Up-regulated,True,Up
ENSG00000168591.16;SE:chr17:44187743-44187907:44188009-44188935:+,ENSG00000168591.16,TMUB2,TMUB2-SE,SE,True,0.2881463337744734,0.8424345222675313,-0.5542881884930579,0.006709378392703814,0.5293852738463806,Down-regulated,True,Down
ENSG00000112299.8;A3:chr6:132685439-132686599:132685403-132686599:-,ENSG00000112299.8,VNN1,VNN1-A3,A3,True,0.39299354075021925,0.9270560455962527,-0.5340625048460335,0.004190524032366625,0.5102028427470058,Down-regulated,True,Down
ENSG00000123815.13;AF:chr19:40714635-40714913:40714990:40714635-40716862:40716896:-,ENSG00000123815.13,COQ8B,COQ8B-AF,AF,False,0.6356152835482541,0.1386164080600415,0.49699887548821264,0.0052163188078575996,0.5293852738463806,Up-regulated,True,Up
ENSG00000112299.8;SE:chr6:132684505-132685255:132685439-132686599:-,ENSG00000112299.8,VNN1,VNN1-SE,SE,True,0.45504315701079884,0.9345831739300926,-0.47954001691929377,0.004715643430397712,0.5102028427470058,Down-regulated,True,Down
ENSG00000117640.18;AF:chr1:25819954:25820029-25823019:25820193:25820414-25823019:+,ENSG00000117640.18,MTFR1L,MTFR1L-AF,AF,False,0.8706830504146001,0.40223448232575904,0.4684485680888411,0.009214212000589708,0.5293852738463806,Up-regulated,True,Up
ENSG00000149476.16;AL:chr11:61345946-61346295:61346890:61345946-61352860:61353295:+,ENSG00000149476.16,TKFC,TKFC-AL,AL,True,0.3912302509741184,0.8388937319503103,-0.44766348097619185,0.00221141088014153,0.42796620033054766,Down-regulated,True,Down
ENSG00000163812.15;AL:chr3:44919978:44922967-44929306:44925168:44926847-44929306:-,ENSG00000163812.15,ZDHHC3,ZDHHC3-AL,AL,True,0.6429060184114647,0.21307768527670354,0.4298283331347611,0.00663423264042459,0.5293852738463806,Up-regulated,True,Up
ENSG00000123815.13;AF:chr19:40714635-40714913:40714990:40714635-40716587:40716886:-,ENSG00000123815.13,COQ8B,COQ8B-AF,AF,False,0.8557601742511811,0.4338308133449046,0.42192936090627653,0.005626119461456925,0.5293852738463806,Up-regulated,True,Up
ENSG00000175029.17;AF:chr10:125111093-125158635:125158716:125111093-125160319:125160513:-,ENSG00000175029.17,CTBP2,CTBP2-AF,AF,False,0.2720008023377883,0.6873207123767335,-0.41531991003894525,0.009640706842372613,0.5326354532020886,Down-regulated,True,Down
ENSG00000173801.17;AF:chr17:41771862-41785903:41786070:41771862-41786346:41786698:-,ENSG00000173801.17,JUP,JUP-AF,AF,True,0.8425532124868647,0.4578772426306931,0.38467596985617153,0.00571071146030377,0.5293852738463806,Up-regulated,True,Up
ENSG00000148297.16;A5:chr9:133346700-133347922:133346700-133347940:-,ENSG00000148297.16,MED22,MED22-A5,A5,False,1.0,0.6155159269244649,0.3844840730755351,0.008634374422050773,0.5293852738463806,Up-regulated,True,Up
ENSG00000166313.20;SE:chr11:6403822-6410627:6411361-6418985:-,ENSG00000166313.20,APBB1,APBB1-SE,SE,False,0.5962093839069416,0.21306457584965433,0.38314480805728723,0.005689498560336003,0.5293852738463806,Up-regulated,True,Up
ENSG00000125378.16;A3:chr14:53952229-53953276:53952176-53953276:-,ENSG00000125378.16,BMP4,BMP4-A3,A3,True,0.5696562540830314,0.9482716021265157,-0.3786153480434843,0.006586439121119081,0.5293852738463806,Down-regulated,True,Down
ENSG00000169813.17;AF:chr10:43396590-43397185:43397346:43396590-43436499:43437111:-,ENSG00000169813.17,HNRNPF,HNRNPF-AF,AF,False,0.8523901512483096,0.4962687034854499,0.35612144776285976,0.00471767654430193,0.5102028427470058,Up-regulated,True,Up
